#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-07-18T02:49:11 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-07-18T02:49:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/A+A/682/A149/models&-order=I&-out=logMgas&-out=Lstar&-out=gamma&-out=psi&-out=hc&-out=Rc&-out=inc&-out=L12COJ21&-out=R12COJ21&-out=L12COJ32&-out=R12COJ32&-out=L13COJ21&-out=R13COJ21&-out=L13COJ32&-out=R13COJ32&-out=LC18OJ21&-out=RC18OJ21&-out=LC18OJ32&-out=RC18OJ32&-out=LC17OJ21&-out=RC17OJ21&-out=LC17OJ32&-out=RC17OJ32&-out=L13C18OJ21&-out=R13C18OJ21&-out=L13C18OJ32&-out=R13C18OJ32&-out=L13C17OJ21&-out=R13C17OJ21&-out=L13C17OJ32&-out=R13C17OJ32&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36820149
#Name: J/A+A/682/A149
#Title: Herbig disks gas mass using CO isotopologues (Stapper+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/682/a149	    IVOID of underlying data collection
#INFO	creator=Stapper L.M.	    First author or institution
#INFO	cites=bibcode:2024A&A...682A.149S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/682/A149	    Dataset landing page
#INFO	publication_date=2024-02-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_682_A149_models:
#Name: J/A+A/682/A149/models
#Title: The luminosities and radii extracted from the models and the model parameters
#Column	logMgas	(F4.1)	The tenth logarithm of the gas mass	[ucd=phys.mass]
#Column	Lstar	(F4.1)	Stellar luminosity	[ucd=phys.luminosity]
#Column	gamma	(F4.1)	Surface density profile power law index	[ucd=stat.param]
#Column	psi	(F4.1)	Flaring index vertical distribution	[ucd=stat.param]
#Column	hc	(F5.2)	Scale height at distance Rc	[ucd=stat.param]
#Column	Rc	(F5.1)	Critical radius surface density profile	[ucd=phys.angSize;src]
#Column	inc	(F4.1)	Inclination of the disk	[ucd=src.orbital.inclination]
#Column	L12COJ21	(F26.16)	Luminosity of the ^12^CO J=2-1 line	[ucd=phys.luminosity]
#Column	R12COJ21	(F20.15)	90% radius of the ^12^CO J=2-1 line	[ucd=phys.size.radius]
#Column	L12COJ32	(F26.16)	Luminosity of the ^12^CO J=3-2 line	[ucd=phys.luminosity]
#Column	R12COJ32	(F20.15)	90% radius of the ^12^CO J=3-2 line	[ucd=phys.size.radius]
#Column	L13COJ21	(F25.16)	Luminosity of the ^13^CO J=2-1 line	[ucd=phys.luminosity]
#Column	R13COJ21	(F20.15)	90% radius of the ^13^CO J=2-1 line	[ucd=phys.size.radius]
#Column	L13COJ32	(F26.16)	Luminosity of the ^13^CO J=3-2 line	[ucd=phys.luminosity]
#Column	R13COJ32	(F20.15)	90% radius of the ^13^CO J=3-2 line	[ucd=phys.size.radius]
#Column	LC18OJ21	(D23.16)	Luminosity of the C^18^O J=2-1 line	[ucd=phys.luminosity]
#Column	RC18OJ21	(F20.15)	90% radius of the C^18^O J=2-1 line	[ucd=phys.size.radius]
#Column	LC18OJ32	(D21.14)	Luminosity of the C^18^O J=3-2 line	[ucd=phys.luminosity]
#Column	RC18OJ32	(F20.15)	90% radius of the C^18^O J=3-2 line	[ucd=phys.size.radius]
#Column	LC17OJ21	(F24.16)	Luminosity of the C^17^O J=2-1 line	[ucd=phys.luminosity]
#Column	RC17OJ21	(F19.15)	90% radius of the C^17^O J=2-1 line	[ucd=phys.size.radius]
#Column	LC17OJ32	(D22.15)	Luminosity of the C^17^O J=3-2 line	[ucd=phys.luminosity]
#Column	RC17OJ32	(F19.15)	90% radius of the C^17^O J=3-2 line	[ucd=phys.size.radius]
#Column	L13C18OJ21	(D23.16)	Luminosity of the ^13^C^18^O J=2-1 line	[ucd=phys.luminosity]
#Column	R13C18OJ21	(F20.15)	90% radius of the ^13^C^18^O J=2-1 line	[ucd=phys.size.radius]
#Column	L13C18OJ32	(D22.15)	Luminosity of the ^13^C^18^O J=3-2 line	[ucd=phys.luminosity]
#Column	R13C18OJ32	(F19.15)	90% radius of the ^13^C^18^O J=3-2 line	[ucd=phys.size.radius]
#Column	L13C17OJ21	(D22.15)	Luminosity of the ^13^C^17^O J=2-1 line	[ucd=phys.luminosity]
#Column	R13C17OJ21	(F20.15)	90% radius of the ^13^C^17^O J=2-1 line	[ucd=phys.size.radius]
#Column	L13C17OJ32	(D21.14)	Luminosity of the ^13^C^17^O J=3-2 line	[ucd=phys.luminosity]
#Column	R13C17OJ32	(F19.15)	90% radius of the ^13^C^17^O J=3-2 line	[ucd=phys.size.radius]
logMgas;Lstar;gamma;psi;hc;Rc;inc;L12COJ21;R12COJ21;L12COJ32;R12COJ32;L13COJ21;R13COJ21;L13COJ32;R13COJ32;LC18OJ21;RC18OJ21;LC18OJ32;RC18OJ32;LC17OJ21;RC17OJ21;LC17OJ32;RC17OJ32;L13C18OJ21;R13C18OJ21;L13C18OJ32;R13C18OJ32;L13C17OJ21;R13C17OJ21;L13C17OJ32;R13C17OJ32
[Msun];Lsun; ; ;rad;AU;deg;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU;Jy.km/s/pc2;AU
----;----;----;----;-----;-----;----;--------------------------;--------------------;--------------------------;--------------------;-------------------------;--------------------;--------------------------;--------------------;-----------------------;--------------------;---------------------;--------------------;------------------------;-------------------;----------------------;-------------------;-----------------------;--------------------;----------------------;-------------------;----------------------;--------------------;---------------------;-------------------
-5.0; 5.0; 0.4; 0.1; 0.05;  5.0;10.0;    41293.6842296399772749;  16.863634680768286;   108402.2997065108211245;  16.860154063915680;    7786.8377669000446986;  15.058615049996549;    22644.4715919002883311;  15.358481937791751; 1.3240233469097495e+03;  11.160719792881778; 4.70295889341228e+03;  11.185323628367676;    519.5915191866454279; 11.124796843512900; 2.023497801045538e+03; 11.115611905921057; 2.2734911434593439e+01;  13.142445477969378; 9.479533603481453e+01; 13.023001633070438; 8.001654261017858e+00;  13.197697096376951; 3.32600628093942e+01; 13.074895083850013
-5.0; 5.0; 0.4; 0.1; 0.05;  5.0;40.0;    42339.3647777006335673;  16.556192590414426;   109756.4452154666796559;  16.567521219652303;    8395.2626340779279417;  14.237463844849374;    24566.1810042051547498;  14.684665669611045; 1.3163888338844995e+03;  10.943900625492772; 4.72886354455926e+03;  10.953559151831392;    510.0766999990966042; 10.927813780375743; 1.988263618063247e+03; 10.920615478257748; 2.2290956759247905e+01;  11.728617373571254; 9.254646814329487e+01; 11.586246602523770; 7.845189320767918e+00;  11.813718395101418; 3.24607009641982e+01; 11.668148490091957
-5.0; 5.0; 0.4; 0.1; 0.05;  5.0;70.0;    47740.7478202878555749;  21.331925394938320;   118705.9288164895988302;  21.350105630377683;    9360.7971800559062103;  20.885409364513013;    28304.8157583549109404;  20.935569958664416; 1.2517408689001186e+03;  20.550445810615379; 4.50167072838083e+03;  20.546989619315799;    477.1249501007231970; 20.553804770344179; 1.828154747834713e+03; 20.548848912125528; 2.1049661991482310e+01;  20.744448610645755; 8.574387566800573e+01; 20.741251344353209; 7.406116403047069e+00;  20.749675395988248; 3.00457918706862e+01; 20.746325130861209
-5.0; 5.0; 0.4; 0.1; 0.05; 10.0;10.0;    94831.0158811627770774;  27.120743877097063;   249289.2311890796700027;  27.202796665464973;   13644.6872028933375987;  21.114748264235786;    42786.1876151281830971;  21.606310505562671; 1.0169893773696580e+03;  14.596636264017832; 3.93965664468408e+03;  14.577218940467644;    369.9490905045493605; 14.569091262915389; 1.492827240440909e+03; 14.472034674521955; 2.1894410870091580e+01;  17.165104300382627; 9.044206633793834e+01; 16.980458666780564; 7.719733855044203e+00;  17.277115464472708; 3.17525754679331e+01; 17.008875676904211
-5.0; 5.0; 0.4; 0.1; 0.05; 10.0;40.0;    90938.4197896538971690;  26.429065883138247;   237394.8879705132858362;  26.469417132184308;   13668.5777552421677683;  20.962522213365421;    43089.0709232737135608;  21.469260460190370; 1.0008950314555570e+03;  13.716355054916892; 3.85618352216205e+03;  13.690515784670074;    365.2407179247965701; 13.684536175649200; 1.468187580408736e+03; 13.551574830661400; 2.1733105133912360e+01;  16.946853734236463; 8.961396692999283e+01; 16.849958491918660; 7.663720916166183e+00;  16.984467063926616; 3.14643162379228e+01; 16.884974621336386
-5.0; 5.0; 0.4; 0.1; 0.05; 10.0;70.0;    92635.3500835776940221;  27.652129481570903;   234201.0920332357054576;  27.738008072808025;   14245.9657269573435769;  22.528035753062959;    46441.7776827962661628;  22.659793184887185; 9.6818783464666922e+02;  21.007206440094468; 3.69506048690090e+03;  21.003707453856897;    353.8568277857899034; 21.006596577770878; 1.406120530609847e+03; 20.991959523344899; 2.1303841081908946e+01;  21.741706107041701; 8.718921532363413e+01; 21.710244681028691; 7.512755084976208e+00;  21.755299492935706; 3.06100335221827e+01; 21.722551309980805
-5.0; 5.0; 0.4; 0.1; 0.05; 30.0;10.0;   285758.4259985702228732;  52.568866026421134;   746336.9724885275354609;  53.872865322885232;   17288.3379864994567470;  45.893722044419512;    65262.8890465221629711;  45.703108504375706; 1.4299126578302864e+02;  53.400973104184544; 5.80050154925783e+02;  52.591736021805460;     51.2457862498354899; 53.458639247364815; 2.068466919721228e+02; 52.626768080310050; 8.8239963548668694e+00;  43.422111411297003; 3.583131688388257e+01; 42.917741640603126; 3.148134240998881e+00;  43.407263695588817; 1.27204793904456e+01; 42.884821923901775
-5.0; 5.0; 0.4; 0.1; 0.05; 30.0;40.0;   255758.8191304371866863;  53.001176682212346;   666731.2791857003467157;  54.290416224763050;   17065.7699576134145900;  45.967663927637311;    63879.7417132953269174;  45.845200173836496; 1.4224906307302044e+02;  53.377086251102668; 5.76552352908295e+02;  52.587483995600770;     50.9893425622119523; 53.432131238059121; 2.056482460748950e+02; 52.619862207484083; 8.8127523665096241e+00;  43.407601403087916; 3.577447959066212e+01; 42.896843166946972; 3.143998937318312e+00;  43.391870969040383; 1.26999253914277e+01; 42.862576180164695
